Player,Team,Pos,Market,Balanced/Milestone,Current Line,Release Date,Open Line,Open O Odds,Open U Odds,Limit,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,,,,,,,,,,,,,,,,
Luther Burden III,CHI,WR,Receiving Yards O/U,Balanced,874.5  -110 / -110,5/6,749.5,-110,-110,"$1,500.00",,7/24,Line Move,849.5,-110,-110,,100,,5/14,Line Move,799.5,-115,-105,,-50,Logged this entry on 5/24 after seeing it wasn't already entered,5/28,Line Move,824.5,-110,-110,,25,Liability building and strong reports out of camp,7/24,Line Move,874.5,-110,-110,,50,"Heavy over action, Cody Brown Tip (850.5)",8/6,Line Move,899.5,-110,-110,,25,"One sided action, comps at 900.5",8/10,Line Move,849.5,-110,-110,,-50,Level 3 played the under with 1k.,,,,,,,,
Rome Odunze,CHI,WR,Receiving Yards O/U,Balanced,824.5  -110 / -110,5/6,799.5,-110,-110,"$1,500.00",,8/9,Line Move,824.5,-110,-110,,25,Bump off of Burden injury news and past liability almost entirely on the over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tee Higgins,CIN,WR,Receiving Yards O/U,Balanced,874.5  -110 / -110,5/6,874.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams,DAL,RB,Rushing Yards O/U,Balanced,949.5  -110 / -110,5/6,1049.5,-110,-110,"$1,500.00",,5/13,Line Move,999.5,-110,-110,,-50,"Market dropped, only under action so far, 1k from a sharp",7/1,Line Move,949.5,-110,-110,,-50,Tipped play on under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pickens,DAL,WR,Receiving Yards O/U,Balanced,1049.5  -110 / -110,5/6,999.5,-110,-110,"$1,500.00",,8/19,Line Move,1049.5,-110,-110,,50,Market up 50 yds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,Receiving Yards O/U,Balanced,524.5  -110 / -110,5/6,524.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton,DEN,WR,Receiving Yards O/U,Balanced,699.5  -110 / -110,5/6,799.5,-110,-110,"$1,500.00",,7/15,Line Move,774.5,-110,-110,,-25,We were on top of the market on him - FD 775 ; Cs  750,8/10,Line Move,749.5,-110,-110,,-25,"Market went lower, consistent sharp action. Missed a few practices",8/12,Line Move,699.5,-110,-110,,-50,Nothing but under bets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Goff,DET,QB,Passing Yards O/U,Balanced,4099.5  -110 / -110,5/6,4099.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams,DET,WR,Receiving Yards O/U,Balanced,924.5  -110 / -110,5/6,899.5,-110,-110,"$1,500.00",,8/15,Line Move,924.5,-110,-110,,25,tipped action on over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Watson,GB,WR,Receiving Yards O/U,Balanced,774.5  -110 / -110,5/6,799.5,-110,-110,"$1,500.00",,7/25,Line Move,774.5,-110,-110,,-25,Tipped (Was tipped somewhere on the over so flipped juice to -110/-110 on 8/10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Stroud,HOU,QB,Passing Yards O/U,Balanced,3549.5  -110 / -110,5/6,3649.5,-110,-110,"$1,500.00",,6/26,Line Move,3599.5,-110,-110,,-50,"Under action, moving towards market",8/10,Line Move,3549.5,-110,-110,,-50,"Steady action on under, moving down to market price",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Collins,HOU,WR,Receiving Yards O/U,Balanced,1149.5  -110 / -110,5/6,1074.5,-110,-110,"$1,500.00",,8/19,Line Move,1149.5,-110,-110,,75,Higgins out for season FD went to 1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Warren,IND,TE,Receiving Yards O/U,Balanced,774.5  -110 / -110,5/6,724.5,-110,-110,"$1,500.00",,7/22,Line Move,774.5,-110,-110,,50,Most likely a tip on the over - only non-segmented customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Lawrence,JAX,QB,Passing Yards O/U,Balanced,3749.5  -105 / -115,5/6,3749.5,-110,-110,"$1,500.00",,7/3,Line Move,3749.5,-105,-115,,25,Over action with sharps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omarion Hampton,LAC,RB,Rushing Yards O/U,Balanced,949.5  -110 / -110,5/6,949.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,Receiving Yards O/U,Balanced,899.5  -110 / -110,5/6,849.5,-110,-110,"$1,500.00",,7/22,Line Move,899.5,-110,-110,,50,Over action and 43 bets in the last 24 hours. Could be tipped somewhere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Stafford,LAR,QB,Passing Yards O/U,Balanced,3899.5  -110 / -110,5/6,3999.5,-110,-110,"$1,500.00",,7/22,Line Move,3949.5,-110,-110,,-50,"20 bets on the under in the last 24 hours with a few sharp bets. Cs are at 3850 , FD at 3925. Our projection is closer to 3900",8/17,Line Move,3924.5,-110,-110,,-25,"cluster of sharps in the space of 15 minutes on the Under. FD are at 3824.5, so we can go further if needed.",8/18,Line Move,3899.5,-110,-110,,-25,Continued sharp action on the Under overnight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyren Williams,LAR,RB,Rushing Yards O/U,Balanced,949.5  -110 / -110,5/6,999.5,-110,-110,"$1,500.00",,8/15,Line Move,949.5,-110,-110,,-50,Action on under and higher than comps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davante Adams,LAR,WR,Receiving Yards O/U,Balanced,774.5  -110 / -110,5/6,774.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puka Nacua,LAR,WR,Receiving Yards O/U,Balanced,1324.5  -110 / -110,5/6,1324.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Shough,NO,QB,Passing Yards O/U,Balanced,3449.5  -120 / 100,5/6,3649.5,-110,-110,"$1,500.00",,7/31,Line Move,3549.5,-110,-110,,-100,,8/5,Line Move,3449.5,-120,100,,-100,"Sharp activity on under end of last week, and FD followed up by moving even lower.  Effectively matching FD's price now but positioned as ""best price"" on over by just 1 yard ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Olave,NO,WR,Receiving Yards O/U,Balanced,1024.5  -110 / -110,5/6,1024.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,Rushing Yards O/U,Balanced,899.5  -110 / -110,5/6,899.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,Receiving Yards O/U,Balanced,999.5  -110 / -110,5/6,999.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf,PIT,WR,Receiving Yards O/U,Balanced,824.5  -110 / -110,5/6,824.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Darnold,SEA,QB,Passing Yards O/U,Balanced,3699.5  -110 / -110,5/6,3799.5,-110,-110,"$1,500.00",,5/19,Line Move,3749.5,-105,-115,,-50,Sharps on Under had 100 yd middle with FD,6/11,Line Move,3699.5,-110,-110,,-50,"Liability to under, was higher than market",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Purdy,SF,QB,Passing Yards O/U,Balanced,3799.5  -110 / -110,5/6,3799.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Mayfield,TB,QB,Passing Yards O/U,Balanced,3599.5  -110 / -110,5/6,3599.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka,TB,WR,Receiving Yards O/U,Balanced,924.5  -110 / ,5/6,899.5,-110,-110,"$1,500.00",Swirv played on under 899.5,5/14,Line Move,874.5,-110,-110,,-25,,7/20,Line Move,924.5,-110,,,50,Liable to the over 899.5 and profitable on the middle between 874.5-899.5 but 95% of bets have been on over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Ward,TEN,QB,Passing Yards O/U,Balanced,3299.5  -110 / -110,5/6,3299.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry McLaurin,WAS,WR,Receiving Yards O/U,Balanced,924.5  -110 / -110,5/6,949.5,-110,-110,"$1,500.00",,,,,,,,,,8/5,Line Move,924.5,-110,-110,,924.5,"Was higher than FD, Diggs signing ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Rodgers,PIT,QB,Passing Yards O/U,Balanced,3149.5  -110 / -110,5/19,3199.5,-110,-110,"$1,500.00",,7/15,Line Move,3149.5,-110,-110,,-50,All of the sharp bets are on the Under . FD and Cs at 3050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxson Dart,NYG,QB,Passing Yards O/U,Balanced,3150.5  -110 / -110,5/19,3150.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Young,CAR,QB,Passing Yards O/U,Balanced,2924.5  -110 / -110,5/19,3074.5,-110,-110,"$1,500.00",,8/7,Line Move,2999.5,-110,-110,,-75,"Tipped somewhere , FD moved to 2875",8/7,Line Move,2924.5,-110,-110,,-75,Continued under action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,Rushing Yards O/U,Balanced,849.5  -115 / -105,5/19,824.5,-110,-110,"$1,500.00",,8/13,Line Move,849.5,-115,-105,,25,10K bet on Over (19640304),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Andre Swift,CHI,RB,Rushing Yards O/U,Balanced,824.5  -110 / -110,5/19,799.5,-110,-110,"$1,500.00",,8/17,Line Move,824.5,-110,-110,,25,Monangai out for multiple weeks with hyper extended knee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson,BAL,QB,Rushing Yards O/U,Balanced,599.5  -110 / -110,5/19,574.5,-110,-110,"$1,500.00",,8/16,Line Move,599.5,-110,-110,,25,Keep getting bets on the Over throughout the day. 4k risk overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Allen,BUF,QB,Rushing Yards O/U,Balanced,499.5  -110 / -110,5/19,499.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxson Dart,NYG,QB,Rushing Yards O/U,Balanced,449.5  -110 / -110,5/19,449.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Maye,NE,QB,Rushing Yards O/U,Balanced,424.5  -110 / -110,5/19,424.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts,PHI,QB,Rushing Yards O/U,Balanced,424.5  -110 / -110,5/19,399.5,-110,-110,"$1,500.00",,8/6,Line Move,424.5,-110,-110,,25,"Reports suggest that Hurts will be used more in the run game compared to last year, so prefer to stay on top of market here.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison Jr.,ARI,WR,Receiving Yards O/U,Balanced,824.5  -110 / -110,5/19,824.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts,ATL,TE,Receiving Yards O/U,Balanced,774.5  -110 / -110,5/19,774.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Rodgers,PIT,QB,Team Specials,Milestones,3726+  200 / ,5/21,3726+,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Burrow,CIN,QB,Passing TDs O/U,Balanced,32.5  -115 / -105,5/21,32.5,-115,-105,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Stafford,LAR,QB,Passing TDs O/U,Balanced,30.5  -105 / -115,5/21,30.5,-105,-115,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Goff,DET,QB,Passing TDs O/U,Balanced,29.5  -110 / -110,5/21,29.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Purdy,SF,QB,Passing TDs O/U,Balanced,27.5  -115 / -105,5/21,27.5,-115,-105,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dak Prescott,DAL,QB,Passing TDs O/U,Balanced,27.5  100 / -120,5/21,27.5,100,-120,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Maye,NE,QB,Passing TDs O/U,Balanced,26.5  -105 / -115,5/21,26.5,-105,-115,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Lawrence,JAX,QB,Passing TDs O/U,Balanced,25.5  -110 / -110,5/21,25.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Mayfield,TB,QB,Passing TDs O/U,Balanced,25.5  110 / -130,5/21,25.5,100,-120,"$1,500.00",,7/8,Odds Move,25.5,110,-130,,100 / -120  -->  110 / -130,Tipped on under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson,BAL,QB,Passing TDs O/U,Balanced,24.5  -115 / -105,5/21,24.5,-115,-105,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Allen,BUF,QB,Passing TDs O/U,Balanced,24.5  -110 / -110,5/21,24.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Herbert,LAC,QB,Passing TDs O/U,Balanced,25.5  -105 / -125,5/21,24.5,-115,-105,"$1,500.00",,7/24,Line Move,25.5,-105,-125,,1,"Large level 35 bet, only action on over. FD at 25.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Nix,DEN,QB,Passing TDs O/U,Balanced,24.5  -105 / -115,5/21,24.5,-105,-115,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Love,GB,QB,Passing TDs O/U,Balanced,24.5  -105 / -115,5/21,24.5,-105,-115,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Williams,CHI,QB,Passing TDs O/U,Balanced,24.5  100 / -120,5/21,24.5,100,-120,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Darnold,SEA,QB,Passing TDs O/U,Balanced,23.5  -110 / -110,5/21,23.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts,PHI,QB,Passing TDs O/U,Balanced,22.5  -110 / -110,5/21,22.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Stroud,HOU,QB,Passing TDs O/U,Balanced,22.5  -110 / -110,5/21,22.5,100,-120,"$1,500.00",,7/1,Odds Move,22.5,-110,-110,,100 / -120  -->  -110 / -110,Sharp Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels,WAS,QB,Passing TDs O/U,Balanced,21.5  -105 / -115,5/21,21.5,-105,-115,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Rodgers,PIT,QB,Passing TDs O/U,Balanced,21.5  -120 / 100,5/21,20.5,-115,-105,"$1,500.00",,6/5,Line Move,21.5,-120,100,,1,Huge VIP bets / ID 36074175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Young,CAR,QB,Passing TDs O/U,Balanced,20.5  -110 / -110,5/21,20.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxson Dart,NYG,QB,Passing TDs O/U,Balanced,19.5  -115 / -105,5/21,19.5,-115,-105,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Shough,NO,QB,Passing TDs O/U,Balanced,20.5  -110 / -110,5/21,18.5,-110,-110,"$1,500.00",,5/27,Line Move,19.5,-120,100,,1,Steady Over Action,5/27,Line Move,19.5,-125,105,,0,Possible tip alert,5/28,Line Move,20.5,-110,-110,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Ward,TEN,QB,Passing TDs O/U,Balanced,20.5  -115 / -105,5/21,18.5,-110,-110,"$1,500.00",,7/24,Line Move,19.5,-105,-115,,1,"FD at 19.5, tipped play, bunch of large VIP bets in a row",8/10,Odds Move,19.5,-120,100,,-115 /   -->  -120 / 100,Tip alert,8/12,Line Move,20.5,-115,-105,,1,Action on the over continues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Willis,MIA,QB,Passing TDs O/U,Balanced,14.5  -105 / -115,5/21,15.5,100,-120,"$1,500.00",,6/27,Line Move,14.5,-105,-115,,-1,FD line at 13.5 (-125ish on over) & took some action on under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Mendoza,LAR,QB,Passing TDs O/U,Balanced,12.5  -110 / -110,5/21,12.5,-115,-105,"$1,500.00",,8/9,Odds Move,12.5,-110,-110,,-115 / -105  -->  -110 / -110,Following move of Pass Yards O/U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Willis,MIA,QB,Passing Yards O/U,Balanced,2949.5  -110 / -110,5/21,3050.5,-110,-110,"$1,500.00",,6/26,Line Move,2949.5,-110,-110,,-101,Under action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Jeanty,LV,RB,Rushing TDs O/U,Balanced,7.5  105 / -130,5/28,7.5,105,-130,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,Rushing TDs O/U,Balanced,8.5  -125 / 100,5/28,7.5,-125,100,"$1,500.00",,5/28,Line Move,8.5,-125,100,,1,FD opened at 10.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,SF,RB,Rushing TDs O/U,Balanced,8.5  -115 / -110,5/28,8.5,-115,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Henry,BAL,RB,Rushing TDs O/U,Balanced,12.5  -105 / -120,5/28,12.5,-105,-120,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahmyr Gibbs,DET,RB,Rushing TDs O/U,Balanced,12.5  100 / -125,5/28,12.5,100,-125,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts,PHI,QB,Rushing TDs O/U,Balanced,8.5  105 / -130,5/28,8.5,-120,-105,"$1,500.00",,7/21,Odds Move,8.5,105,-130,,-120 / -105  -->  105 / -130,Koerner tip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Cook,BUF,RB,Rushing TDs O/U,Balanced,10.5  110 / -135,5/28,10.5,-105,-120,"$1,500.00",,8/2,Odds Move,10.5,110,-135,,-105 / -120  -->  110 / -135,Market dropped to -140 after reports of more pass involvement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams,DAL,RB,Rushing TDs O/U,Balanced,9.5  -105 / -120,5/28,9.5,-105,-120,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Taylor,IND,RB,Rushing TDs O/U,Balanced,11.5  105 / -130,5/28,11.5,105,-130,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Allen,BUF,QB,Rushing TDs O/U,Balanced,11.5  100 / -125,5/28,11.5,100,-125,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyren Williams,LAR,RB,Rushing TDs O/U,Balanced,9.5  -125 / 100,5/28,9.5,-125,100,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,Rushing TDs O/U,Balanced,7.5  -125 / 100,5/28,7.5,100,-125,"$1,500.00",,7/21,Odds Move,7.5,-125,100,,100 / -125  -->  -125 / 100,Koerner TIp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,Receiving TDs O/U,Balanced,9.5  -115 / -110,5/29,9.5,-115,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Bowers,LV,TE,Receiving TDs O/U,Balanced,7.5  115 / -145,5/29,7.5,110,-135,"$1,500.00",,6/25,Odds Move,7.5,115,-145,,110 / -135  -->  115 / -145,FD Opened at 6.5 o +120 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeeDee Lamb,DAL,WR,Receiving TDs O/U,Balanced,7.5  -110 / -115,5/29,7.5,-110,-115,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Olave,NO,WR,Receiving TDs O/U,Balanced,5.5  -120 / -105,5/29,5.5,-120,-105,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davante Adams,LAR,WR,Receiving TDs O/U,Balanced,9.5  110 / -135,5/29,9.5,105,-130,"$1,500.00",,7/30,Odds Move,9.5,110,-135,,105 / -130  -->  110 / -135,Tipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake London,ATL,WR,Receiving TDs O/U,Balanced,7.5  110 / -135,5/29,7.5,110,-135,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pickens,DAL,WR,Receiving TDs O/U,Balanced,6.5  -130 / 105,5/29,6.5,-130,105,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,Receiving TDs O/U,Balanced,10.5  110 / -135,5/29,10.5,110,-135,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,Receiving TDs O/U,Balanced,8.5  110 / -135,5/29,8.5,110,-135,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Jefferson,MIN,WR,Receiving TDs O/U,Balanced,6.5  -135 / 110,5/29,6.5,-135,110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Collins,HOU,WR,Receiving TDs O/U,Balanced,6.5  -105 / -120,5/29,6.5,-105,-120,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puka Nacua,LAR,WR,Receiving TDs O/U,Balanced,7.5  -135 / 110,5/29,7.5,-135,110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tee Higgins,CIN,WR,Receiving TDs O/U,Balanced,8.5  115 / -145,5/29,8.5,105,-130,"$1,500.00",,7/30,Odds Move,8.5,115,-145,,105 / -130  -->  115 / -145,Tipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetairoa McMillan,CAR,WR,Receiving TDs O/U,Balanced,6.5  -110 / -115,5/29,6.5,-110,-115,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey McBride,ARI,TE,Receiving TDs O/U,Balanced,6.5  100 / -125,5/29,6.5,100,-125,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
