Player,Team,Pos,Market,Balanced/Milestone,Current Line,Release Date,Open Line,Open O Odds,Open U Odds,Limit,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,,,,,,,,,,,,,,,,
Romeo Doubs,NE,WR,Receiving Yards O/U,Balanced,649.5  -110 / -110,3/10,774.5,-110,-110,"$1,500.00",Frozen as of 4/17 with AJB trade possibilities to NE,6/30,Line Move,649.5,-110,-110,,-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle,DEN,WR,Receiving Yards O/U,Balanced,899.5  -110 / -110,3/17,875.5,-110,-110,"$1,500.00",,7/21,Line Move,899.5,-110,-110,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson,BAL,QB,Passing Yards O/U,Balanced,3249.5  -110 / -110,4/17,3249.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Allen,BUF,QB,Passing Yards O/U,Balanced,3624.5  -110 / -110,4/17,3549.5,-110,-110,"$1,500.00",,7/1,Line Move,3599.5,-110,-110,,50,Tipped play on over,8/8,Line Move,3624.5,-110,-110,,25,Liability on the Over (10k),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Williams,CHI,QB,Passing Yards O/U,Balanced,3649.5  -120 / 100,4/17,3549.5,-110,-110,"$1,500.00",,5/9,Line Move,3599.5,-110,-110,,50,,5/27,Line Move,3624.5,-115,-105,,25,One-sided action on overs -- C's came up 50 yards since our last move,7/22,Odds Move,3624.5,-120,100,,-105 /   -->  -120 / 100,"Level 5 came in with multiple low combos, moved odds to stop the flow will monitor",7/30,Line Move,3649.5,-120,100,,3769.5,Continued one-sided action,,,,,,,,Continued one-sided action,,,,,,,,,,,,,,,,
Joe Burrow,CIN,QB,Passing Yards O/U,Balanced,3999.5  -110 / -110,4/17,3949.5,-110,-110,"$1,500.00",,4/23,Line Move,3999.5,-110,-110,5K Bet on over,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dak Prescott,DAL,QB,Passing Yards O/U,Balanced,3999.5  -110 / -110,4/17,3999.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels,WAS,QB,Passing Yards O/U,Balanced,3249.5  -110 / -110,4/17,3399.5,-110,-110,"$1,500.00",,6/2,Line Move,3349.5,-105,-115,,-50,"FD at 3200, Some Under action",6/3,Line Move,3249.5,-110,-110,,-100,Swirv on under ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Maye,NE,QB,Passing Yards O/U,Balanced,3799.5  -120 / 100,4/17,3699.5,-110,-110,"$1,500.00",,4/22,Line Move,3749.5,-110,-110,,50,"$2700 bet on over, expecting mainly 1 way action",5/1,Line Move,3799.5,-120,100,,50,FD Opened 3850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Herbert,LAC,QB,Passing Yards O/U,Balanced,3649.5  -115 / -105,4/17,3524.5,-110,-110,"$1,500.00",,6/12,Line Move,3599.5,-110,-110,,75,"Moving to market, over skewed action so far",7/21,Line Move,3649.5,-115,-105,,50,Continued action on overs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts,PHI,QB,Passing Yards O/U,Balanced,3249.5  -110 / -110,4/17,3249.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Love,GB,QB,Passing Yards O/U,Balanced,3549.5  -110 / -110,4/17,3549.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Nix,DEN,QB,Passing Yards O/U,Balanced,3499.5  -110 / -110,4/21,3499.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,Rushing Yards O/U,Balanced,1174.5  -110 / -110,4/17,1174.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Henry,BAL,RB,Rushing Yards O/U,Balanced,1249.5  -110 / -110,4/17,1274.5,-110,-110,"$1,500.00",,6/9,Line Move,1249.5,-110,-110,,-25,Sharp under Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Cook,BUF,RB,Rushing Yards O/U,Balanced,1224.5  -110 / -110,4/17,1249.5,-110,-110,"$1,500.00",,8/8,Line Move,1224.5,-110,-110,,-25,Sharp under Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Jacobs,GB,RB,Rushing Yards O/U,Balanced,974.5  -110 / -110,4/17,999.5,-110,-110,"$1,500.00","Frozen, arrested",5/26,Line Move,974.5,-110,-110,,-25,"3k to under, mainly one way action",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Taylor,IND,RB,Rushing Yards O/U,Balanced,1249.5  -110 / -110,4/17,1249.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Jeanty,LV,RB,Rushing Yards O/U,Balanced,974.5  -110 / -110,4/17,1024.5,-110,-110,"$1,500.00",,6/26,Line Move,974.5,-110,-110,,-50,Moved towards market sharp under action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,Rushing Yards O/U,Balanced,1099.5  -110 / -110,4/17,1099.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,SF,RB,Rushing Yards O/U,Balanced,949.5  -110 / -110,4/17,1024.5,-110,-110,"$1,500.00",Swirv played the Under on 1024,4/30,Line Move,974.5,-105,-115,,-50,"heavy action on under, as well as the swirv under was enough to move down to 975.5 w CZS at 950",8/9,Line Move,949.5,-110,-110,,-25,"Small sharp action on the Under , FD at 900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,Receiving Yards O/U,Balanced,1324.5  -110 / -110,4/17,1324.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeeDee Lamb,DAL,WR,Receiving Yards O/U,Balanced,1199.5  -110 / -110,4/17,1199.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,Receiving Yards O/U,Balanced,1249.5  -110 / -110,4/17,1249.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Bowers,LV,WR,Receiving Yards O/U,Balanced,924.5  -110 / -110,4/17,874.5,-110,-110,"$1,500.00",,5/21,Line Move,899.5,-110,-110,,25,One way action on the over -- Czrs moved to 900,7/22,Line Move,924.5,-110,-110,,25,"Continued action on over, now in line with FD's number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Jefferson,MIN,WR,Receiving Yards O/U,Balanced,1149.5  -110 / -110,4/17,1149.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers,NYG,WR,Receiving Yards O/U,Balanced,999.5  -110 / -110,4/17,999.5,-110,-110,"$1,500.00",Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,Receiving Yards O/U,Balanced,1324.5  -110 / -110,4/17,1324.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake London,ATL,WR,Receiving Yards O/U,Balanced,1099.5  -105 / -115,4/17,1149.5,-110,-110,"$1,500.00",,8/5,Odds Move,1149.5,100,-120,,-110 / -110  -->  100 / -120,Alert on under selection; MGM had put us into a 10 cent arb. This odds move eliminated it. No change to milestones,8/5,Line Move,1099.5,-105,-115,,-50,"Liable to under due to MGMs arb, comps at 1100 so slight drop. Touted pick too",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Mendoza,LV,QB,Rookie Pass Yd MS,Milestones,   / ,4/23,,,,"$1,000.00",,8/1,Odds Move,,,,, /   -->   / ,"3000+ -> 200 / 3500+ ->350 / 4000+ ->900 / 4500+ ->3500
Matching regular MS Prices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Mendoza,LV,QB,Rookie Pass TD MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Bailey,NYJ,DL,Rookie Sacks MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremiyah Love,ARI,RB,Rookie Rush Yds MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremiyah Love,ARI,RB,Rookie Rush TDs MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnell Tate,TEN,WR,Rookie Rec Yds MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnell Tate,TEN,WR,Rookie Rec TDs MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arvell Reese,NYG,LB,Rookie Sacks MS,Milestones,   / ,4/23,,,,$750.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansoor Delane,KC,DB,Rookie Def Ints MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordyn Tyson,NO,WR,Rookie Rec Yds MS,Milestones,   / ,4/23,,,,"$1,000.00",,8/1,Line Move,,,,,0,Getting in line with his O/U line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordyn Tyson,NO,WR,Rookie Rec TDs MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Downs,DAL,DB,Rookie Def Ints MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rueben Bain Jr.,TB,DL,Rookie Sacks MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon Sadiq,NYJ,TE,Rookie Rec Yds MS,Milestones,   / ,4/23,,,,"$1,000.00","Frozen 5/28, Underwent hip surgery expected ready for camp still",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon Sadiq,NYJ,TE,Rookie Rec TDs MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makai Lemon,PHI,WR,Rookie Rec Yds MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makai Lemon,PHI,WR,Rookie Rec TDs MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KC Concepcion,CLE,WR,Rookie Rec Yds MS,Milestones,   / ,4/23,,,,"$1,000.00",,4/25,,,,,,,"500+: -135 -> -180, 750+: +220 -> +175, 1000+: +850 -> +700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KC Concepcion,CLE,WR,Rookie Rec TDs MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dillon Thieneman,CHI,DB,Rookie Def Ints MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Cooper Jr.,NYJ,WR,Rookie Rec Yds MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Cooper Jr.,NYJ,WR,Rookie Rec Yds MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denzel Boston,CLE,WR,Rookie Rec Yds MS,Milestones,   / ,4/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denzel Boston,CLE,WR,Rookie Rec Yds MS,Milestones,   / ,4/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jadarian Price,SEA,RB,Rookie Rush Yds MS,Milestones,   / ,4/23,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Mendoza,LV,QB,Passing Yards O/U,Balanced,2299.5  -105 / -115,4/27,2649.5,-110,-110,"$1,000.00",Limits dropped to 1k will adjust in May,4/28,Line Move,2499.5,-110,-110,,-150,"Heavy under action, market down to 2500",6/8,Line Move,2399.5,-105,-115,,-100,"Comps 2350, one way under action",7/28,Line Move,2349.5,-110,-110,,-50,2 big VIP bets on the under ,7/28,Other,2299.5,-105,-115,,-50,$5000 bet on 2349.5  -- frozen,8/9,Odds Move,2299.5,100,-120,,,"Run of under bets, ~15 in an hour",8/11,Line Move,2199.5,-110,-110,,,Market down to 2200.5 and all liability to his under,,8/21,Down to 2099.5 now,,,,,
Jeremiyah Love,ARI,RB,Rushing Yards O/U,Balanced,774.5  -110 / -110,4/27,899.5,-110,-110,"$1,000.00",Limits dropped to 1k will adjust in May,7/30,Line Move,849.5,-105,-115,,-50,under sharp attack; likely correlated with camp news,7/30,Line Move,824.5,-110,-110,,-25,Someone did this and didnt log it idk probably getting under bets,8/17,Line Move,774.5,-110,-110,,-50,Lowered off of Injury news ~1 game of rushing yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnell Tate,TEN,WR,Receiving Yards O/U,Balanced,799.5  100 / -120,4/27,774.5,-110,-110,"$1,000.00",Limits dropped to 1k will adjust in May,,Line Move,799.5,-110,-110,,25,Unsure when this move occurred -- filling this out retrospectively. ,,Line Move,825.5,-105,-115,,26,"33 played it twice and cluster alert on under, comps at 825.5",8/10,Line Move,799.5,-110,-110,,-26,Liability on the Over > moving towards our median projection,8/14,Odds Move,799.5,100,-120,,-110 /   -->  100 / -120,Odds adjustment following poor preseason showing and sharps on the Under. Rest of industry at 775. ,8/14,Line Move,774.5,-105,-115,,,Alerts on his under,,,,,,,,,,,,,,,,
Jordyn Tyson,NO,WR,Receiving Yards O/U,Balanced,774.5  -110 / -110,4/27,774.5,-110,-110,"$1,000.00",Limits dropped to 1k will adjust in May,8/13,Other,,,,,,Frozen due to injury news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makai Lemon,PHI,WR,Receiving Yards O/U,Balanced,649.5  -110 / -110,4/27,649.5,-110,-110,"$1,000.00",Limits dropped to 1k will adjust in May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
