name,position,pass_att,pass_cmp,pass_td,pass_yds,interceptions,receptions,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles,source_points
JAX,DST,,,,,,,,,,,,,99.00
Blake Grupe,K,,,,,,,,,,,,,99.00
Germie Bernard,WR,,,,,,36.0,439.0,3.0,2.0,10.0,,,98.90
Adonai Mitchell,WR,,,,,,35.0,443.0,3.0,1.0,10.0,,,98.30
PIT,DST,,,,,,,,,,,,,98.00
Ted Hurst,WR,,,,,,36.0,426.0,3.0,2.0,13.0,,,97.90
Shedeur Sanders,QB,226.0,142.0,7.0,1433.0,5.0,,,,26.0,88.0,2.0,2.0,97.12
KC,DST,,,,,,,,,,,,,97.00
Keaton Mitchell,RB,,,,,,18.0,134.0,1.0,88.0,435.0,3.0,1.0,96.90
Travis Hunter,WR,,,,,,35.0,415.0,3.0,4.0,21.0,,,96.60
Mason Taylor,TE,,,,,,40.0,384.0,3.0,,,,,96.40
Pat Bryant,WR,,,,,,35.0,425.0,3.0,2.0,9.0,,,96.40
LAC,DST,,,,,,,,,,,,,96.00
DAL,DST,,,,,,,,,,,,,96.00
NYG,DST,,,,,,,,,,,,,96.00
Andy Borregales,K,,,,,,,,,,,,,96.00
GB,DST,,,,,,,,,,,,,96.00
CHI,DST,,,,,,,,,,,,,95.00
Nick Folk,K,,,,,,,,,,,,,95.00
Caleb Douglas,WR,,,,,,34.0,428.0,3.0,,,,,94.80
Kayshon Boutte,WR,,,,,,31.0,456.0,3.0,,,,,94.60
Cyrus Allen,WR,,,,,,34.0,425.0,3.0,,,,,94.50
IND,DST,,,,,,,,,,,,,94.00
SF,DST,,,,,,,,,,,,,94.00
BUF,DST,,,,,,,,,,,,,94.00
Tyreek Hill,WR,,,,,,33.0,422.0,3.0,1.0,5.0,,,93.70
ATL,DST,,,,,,,,,,,,,93.00
Charlie Smyth,K,,,,,,,,,,,,,93.00
Tory Horton,WR,,,,,,31.0,421.0,3.0,1.0,9.0,,,92.00
Ryan Fitzgerald,K,,,,,,,,,,,,,92.00
Andrei Iosivas,WR,,,,,,32.0,403.0,3.0,2.0,10.0,,,91.30
CAR,DST,,,,,,,,,,,,,91.00
Jake Moody,K,,,,,,,,,,,,,91.00
Malachi Fields,WR,,,,,,32.0,404.0,3.0,1.0,6.0,,,91.00
Jason Sanders,K,,,,,,,,,,,,,91.00
TB,DST,,,,,,,,,,,,,91.00
Jake Elliott,K,,,,,,,,,,,,,90.00
Chimere Dike,WR,,,,,,38.0,384.0,2.0,6.0,30.0,,1.0,89.40
Chad Ryland,K,,,,,,,,,,,,,89.00
CIN,DST,,,,,,,,,,,,,89.00
Dylan Sampson,RB,,,,,,23.0,176.0,1.0,78.0,321.0,2.0,1.0,88.70
Isaac TeSlaa,WR,,,,,,28.0,402.0,3.0,2.0,9.0,,,87.10
NO,DST,,,,,,,,,,,,,87.00
Cooper Kupp,WR,,,,,,32.0,364.0,3.0,,,,,86.40
Keon Coleman,WR,,,,,,29.0,375.0,3.0,3.0,13.0,,,85.80
Darnell Washington,TE,,,,,,33.0,341.0,3.0,,,,,85.10
WAS,DST,,,,,,,,,,,,,85.00
Andre Szmyt,K,,,,,,,,,,,,,84.00
Joey Slye,K,,,,,,,,,,,,,84.00
CLE,DST,,,,,,,,,,,,,84.00
Woody Marks,RB,,,,,,19.0,137.0,1.0,86.0,351.0,2.0,1.0,83.80
Darius Slayton,WR,,,,,,27.0,386.0,3.0,,,,,83.60
Eli Stowers,TE,,,,,,31.0,319.0,3.0,2.0,5.0,,,81.40
Michael Mayer,TE,,,,,,34.0,348.0,2.0,,,,,80.80
Cole Kmet,TE,,,,,,34.0,337.0,2.0,,,,,79.70
Zachariah Branch,WR,,,,,,30.0,365.0,2.0,,,,,78.50
Jack Bech,WR,,,,,,30.0,350.0,2.0,1.0,9.0,,,77.90
Kendrick Bourne,WR,,,,,,31.0,344.0,2.0,,,,,77.40
Calvin Ridley,WR,,,,,,27.0,377.0,2.0,1.0,6.0,,,77.30
TEN,DST,,,,,,,,,,,,,77.00
Theo Johnson,TE,,,,,,31.0,340.0,2.0,,,,,77.00
Dawson Knox,TE,,,,,,28.0,304.0,3.0,,,,,76.40
