name,position,pass_att,pass_cmp,pass_td,pass_yds,interceptions,receptions,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles,source_points
Jam Miller,RB,,,,,,3.0,22.0,,22.0,92.0,1.0,,20.40
Brashard Smith,RB,,,,,,4.0,32.0,,16.0,67.0,1.0,,19.90
J.J. McCarthy,QB,32.0,20.0,1.0,213.0,1.0,,,,5.0,21.0,1.0,,19.62
Mitchell Evans,TE,,,,,,8.0,77.0,,,,,,15.70
Mo Alie-Cox,TE,,,,,,8.0,74.0,,,,,,15.40
Tip Reiman,TE,,,,,,8.0,74.0,,,,,,15.40
Connor Heyward,TE,,,,,,4.0,33.0,,7.0,14.0,1.0,,14.70
Trey Lance,QB,29.0,18.0,1.0,183.0,1.0,,,,8.0,43.0,,,14.62
Jalen Milroe,QB,26.0,16.0,1.0,164.0,1.0,,,,8.0,43.0,,,13.86
Tim Patrick,WR,,,,,,6.0,77.0,,,,,,13.70
Ty Simpson,QB,32.0,20.0,1.0,218.0,1.0,,,,5.0,19.0,,,13.62
Marcus Mariota,QB,29.0,19.0,1.0,188.0,1.0,,,,4.0,26.0,,,13.12
Cade York,K,,,,,,,,,,,,,13.00
Tyrod Taylor,QB,32.0,20.0,1.0,205.0,1.0,,,,4.0,17.0,,,12.90
Jameis Winston,QB,32.0,20.0,1.0,214.0,1.0,,,,3.0,13.0,,,12.86
Will Levis,QB,32.0,20.0,1.0,205.0,1.0,,,,4.0,15.0,,,12.70
Spencer Rattler,QB,32.0,20.0,1.0,202.0,1.0,,,,4.0,16.0,,,12.68
Tyler Huntley,QB,28.0,18.0,1.0,182.0,1.0,,,,4.0,24.0,,,12.68
Diego Pavia,QB,29.0,18.0,1.0,183.0,1.0,,,,4.0,22.0,,,12.52
Raheem Mostert,RB,,,,,,5.0,33.0,,10.0,42.0,,,12.50
Tyson Bagent,QB,31.0,19.0,1.0,195.0,1.0,,,,4.0,17.0,,,12.50
Carson Wentz,QB,32.0,20.0,1.0,221.0,1.0,,,,2.0,6.0,,,12.44
Riley Leonard,QB,29.0,18.0,1.0,196.0,1.0,,,,4.0,16.0,,,12.44
Tanner McKee,QB,31.0,19.0,1.0,198.0,1.0,,,,4.0,15.0,,,12.42
Quinn Ewers,QB,31.0,19.0,1.0,195.0,1.0,,,,4.0,16.0,,,12.40
Joe Milton,QB,31.0,19.0,1.0,195.0,1.0,,,,4.0,16.0,,,12.40
Joshua Dobbs,QB,31.0,19.0,1.0,195.0,1.0,,,,4.0,16.0,,,12.40
Clayton Tune,QB,31.0,19.0,1.0,195.0,1.0,,,,4.0,16.0,,,12.40
Tommy DeVito,QB,30.0,19.0,1.0,202.0,1.0,,,,4.0,13.0,,,12.38
Jimmy Garoppolo,QB,33.0,21.0,1.0,218.0,1.0,,,,2.0,6.0,,,12.32
Devin Singletary,RB,,,,,,5.0,32.0,,10.0,41.0,,,12.30
Jarrett Stidham,QB,31.0,19.0,1.0,198.0,1.0,,,,2.0,13.0,,,12.22
Nick Mullens,QB,33.0,20.0,1.0,211.0,1.0,,,,2.0,6.0,,,12.04
Davis Mills,QB,33.0,20.0,1.0,211.0,1.0,,,,2.0,6.0,,,12.04
Ty Chandler,RB,,,,,,6.0,39.0,,5.0,21.0,,,12.00
Kyle Allen,QB,31.0,19.0,1.0,195.0,1.0,,,,2.0,12.0,,,12.00
Mitchell Trubisky,QB,29.0,18.0,1.0,186.0,1.0,,,,4.0,15.0,,,11.94
Dillon Gabriel,QB,30.0,19.0,1.0,189.0,1.0,,,,2.0,13.0,,,11.86
Andy Dalton,QB,33.0,21.0,1.0,208.0,1.0,,,,2.0,5.0,,,11.82
Mason Rudolph,QB,32.0,20.0,1.0,202.0,1.0,,,,2.0,6.0,,,11.68
Teddy Bridgewater,QB,32.0,20.0,1.0,202.0,1.0,,,,2.0,5.0,,,11.58
Jaydn Ott,RB,,,,,,3.0,19.0,,15.0,63.0,,,11.20
Tutu Atwell,WR,,,,,,4.0,62.0,,1.0,5.0,,,10.70
Luke Farrell,TE,,,,,,5.0,51.0,,,,,,10.10
Durham Smythe,TE,,,,,,5.0,49.0,,,,,,9.90
Bo Melton,WR,,,,,,4.0,52.0,,1.0,6.0,,,9.80
Foster Moreau,TE,,,,,,5.0,48.0,,,,,,9.80
Riley Nowakowski,TE,,,,,,5.0,46.0,,,,,,9.60
Jarquez Hunter,RB,,,,,,2.0,13.0,,15.0,63.0,,,9.60
Taysom Hill,TE,,,,,,4.0,35.0,,5.0,20.0,,,9.50
Jeremy McNichols,RB,,,,,,3.0,22.0,,10.0,42.0,,,9.40
Luke McCaffrey,WR,,,,,,4.0,53.0,,,,,,9.30
Noah Brown,WR,,,,,,4.0,53.0,,,,,,9.30
Elijah Mitchell,RB,,,,,,2.0,14.0,,14.0,59.0,,,9.30
Jeremy Ruckert,TE,,,,,,5.0,43.0,,,,,,9.30
Isaiah Hodgins,WR,,,,,,4.0,52.0,,,,,,9.20
Theo Wease,WR,,,,,,4.0,49.0,,,,,,8.90
Cody White,WR,,,,,,4.0,45.0,,,,,,8.50
Dean Connors,RB,,,,,,2.0,18.0,,11.0,46.0,,,8.40
Tyler Badie,RB,,,,,,4.0,28.0,,4.0,16.0,,,8.40
Payne Durham,TE,,,,,,4.0,41.0,,,,,,8.10
Lucas Krull,TE,,,,,,4.0,41.0,,,,,,8.10
Michael Carter,RB,,,,,,3.0,22.0,,7.0,29.0,,,8.10
Seydou Traore,TE,,,,,,4.0,40.0,,,,,,8.00
Charlie Woerner,TE,,,,,,4.0,40.0,,,,,,8.00
Quintin Morris,TE,,,,,,4.0,40.0,,,,,,8.00
Roschon Johnson,RB,,,,,,2.0,14.0,,10.0,42.0,,,7.60
Jack Stoll,TE,,,,,,4.0,35.0,,,,,,7.50
Damien Martinez,RB,,,,,,2.0,14.0,,10.0,41.0,,,7.50
Tucker Fisk,TE,,,,,,4.0,35.0,,,,,,7.50
Dallin Holker,TE,,,,,,4.0,35.0,,,,,,7.50
Pierre Strong,RB,,,,,,2.0,14.0,,10.0,41.0,,,7.50
Dare Ogunbowale,RB,,,,,,4.0,27.0,,2.0,8.0,,,7.50
Jaleel McLaughlin,RB,,,,,,2.0,15.0,,10.0,40.0,,,7.50
Jack Velling,TE,,,,,,4.0,33.0,,,,,,7.30
Dante Pettis,WR,,,,,,3.0,37.0,,1.0,6.0,,,7.30
Devin Culp,TE,,,,,,4.0,33.0,,,,,,7.30
Xavier Weaver,WR,,,,,,3.0,35.0,,1.0,6.0,,,7.10
Ronnie Rivers,RB,,,,,,3.0,20.0,,5.0,21.0,,,7.10
Arian Smith,WR,,,,,,3.0,35.0,,1.0,6.0,,,7.10
Malachi Corley,WR,,,,,,2.0,20.0,,5.0,28.0,,,6.80
Van Jefferson,WR,,,,,,3.0,38.0,,,,,,6.80
Phil Mafah,RB,5.0,,,,,2.0,15.0,,8.0,32.0,,,6.70
Darius Cooper,WR,,,,,,3.0,37.0,,,,,,6.70
Noah Thomas,WR,,,,,,3.0,36.0,,,,,,6.60
Cedric Tillman,WR,,,,,,3.0,36.0,,,,,,6.60
Dane Key,WR,,,,,,3.0,36.0,,,,,,6.60
Chase Roberts,WR,,,,,,3.0,36.0,,,,,,6.60
Trebor Pena,WR,,,,,,3.0,36.0,,,,,,6.60
Kevin Austin,WR,,,,,,3.0,34.0,,,1.0,,,6.50
Josh Reynolds,WR,,,,,,3.0,35.0,,,,,,6.50
Jalen Brooks,WR,,,,,,3.0,35.0,,,,,,6.50
Tyler Johnson,WR,,,,,,3.0,35.0,,,,,,6.50
Allen Lazard,WR,,,,,,3.0,34.0,,,,,,6.40
Josh Whyle,TE,,,,,,3.0,32.0,,,,,,6.20
Brevin Jordan,TE,,,,,,4.0,21.0,,,,,,6.10
Will Ferrin,K,,,,,,,,,,,,,6.00
Lenny Krieg,K,,,,,,,,,,,,,6.00
Davis Allen,TE,,,,,,3.0,29.0,,,,,,5.90
Tanner Hudson,TE,,,,,,3.0,28.0,,,,,,5.80
Nate Adkins,TE,,,,,,3.0,27.0,,,,,,5.70
Stone Smartt,TE,,,,,,3.0,27.0,,,,,,5.70
Eric Saubert,TE,,,,,,3.0,27.0,,,,,,5.70
Kalel Mullings,RB,,,,,,2.0,16.0,,5.0,20.0,,,5.60
Zavier Scott,RB,,,,,,2.0,15.0,,5.0,21.0,,,5.60
Kendre Miller,RB,,,,,,2.0,16.0,,5.0,20.0,,,5.60
Julian Hill,TE,,,,,,3.0,26.0,,,,,,5.60
Julius Chestnut,RB,,,,,,2.0,16.0,,5.0,20.0,,,5.60
Drew Ogletree,TE,,,,,,3.0,24.0,,,,,,5.40
Curtis Samuel,WR,,,,,,2.0,27.0,,1.0,6.0,,,5.30
Kenny McIntosh,RB,,,,,,2.0,16.0,,4.0,16.0,,,5.20
Dylan Laube,RB,,,,,,2.0,10.0,,5.0,21.0,,,5.10
Cam Akers,RB,,,,,,2.0,15.0,,4.0,16.0,,,5.10
Zamir White,RB,,,,,,2.0,10.0,,5.0,21.0,,,5.10
Dee Eskridge,WR,,,,,,2.0,23.0,,1.0,6.0,,,4.90
Dyami Brown,WR,,,,,,2.0,23.0,,1.0,6.0,,,4.90
Ameer Abdullah,RB,,,,,,2.0,15.0,,3.0,13.0,,,4.80
Xavier Restrepo,WR,,,,,,2.0,22.0,,1.0,6.0,,,4.80
Tyler Goodson,RB,,,,,,2.0,15.0,,3.0,13.0,,,4.80
Kameron Johnson,WR,,,,,,2.0,28.0,,,,,,4.80
Raheim Sanders,RB,,,,,,2.0,7.0,,5.0,20.0,,,4.70
Dont'e Thornton,WR,,,,,,2.0,27.0,,,,,,4.70
Dareke Young,WR,,,,,,2.0,26.0,,,,,,4.60
Efton Chism,WR,,,,,,2.0,25.0,,,1.0,,,4.60
Craig Reynolds,RB,,,,,,2.0,16.0,,2.0,8.0,,,4.40
Blake Whiteheart,TE,,,,,,2.0,24.0,,,,,,4.40
Jacardia Wright,RB,,,,,,2.0,15.0,,2.0,8.0,,,4.30
David Moore,WR,,,,,,2.0,23.0,,,,,,4.30
Ricky White,WR,,,,,,2.0,22.0,,,,,,4.20
Tylan Wallace,WR,,,,,,2.0,22.0,,,,,,4.20
Jake Bobo,WR,,,,,,2.0,22.0,,,,,,4.20
Kaden Wetjen,WR,,,,,,2.0,22.0,,,,,,4.20
JuJu Smith-Schuster,WR,,,,,,2.0,20.0,,,1.0,,,4.10
Chris Moore,WR,,,,,,2.0,21.0,,,,,,4.10
Harrison Bryant,TE,,,,,,2.0,20.0,,,,,,4.00
Jamal Haynes,RB,,,,,,1.0,5.0,,6.0,25.0,,,4.00
Ian Thomas,TE,,,,,,2.0,20.0,,,,,,4.00
Tyrell Shavers,WR,,,,,,2.0,19.0,,,1.0,,,4.00
Sione Vaki,RB,,,,,,2.0,16.0,,1.0,4.0,,,4.00
Kylen Granson,TE,,,,,,2.0,20.0,,,,,,4.00
Cameron Latu,TE,,,,,,2.0,20.0,,,,,,4.00
Ben Yurosek,TE,,,,,,2.0,20.0,,,,,,4.00
Antonio Gibson,RB,,,,,,2.0,15.0,,1.0,4.0,,,3.90
Trent Sherfield,WR,,,,,,2.0,19.0,,,,,,3.90
Max Bredeson,TE,,,,,,2.0,15.0,,1.0,3.0,,,3.80
Anthony Gould,WR,,,,,,1.0,16.0,,1.0,6.0,,,3.20
Skyy Moore,WR,,,,,,1.0,14.0,,1.0,6.0,,,3.00
Ashton Dulin,WR,,,,,,1.0,14.0,,1.0,6.0,,,3.00
DeAndre Hopkins,WR,,,,,,1.0,15.0,,,,,,2.50
Jordan Watkins,WR,,,,,,1.0,14.0,,,,,,2.40
Chris Manhertz,TE,,,,,,1.0,13.0,,,,,,2.30
Ko Kieft,TE,,,,,,1.0,13.0,,,,,,2.30
Shane Zylstra,TE,,,,,,1.0,13.0,,,,,,2.30
Donovan Edwards,RB,,,,,,,,,5.0,21.0,,,2.10
Gage Larvadain,WR,,,,,,1.0,9.0,,,,,,1.90
Feleipe Franks,TE,,,,,,1.0,7.0,,1.0,2.0,,,1.90
Robert Tonyan,TE,,,,,,1.0,9.0,,,,,,1.90
DeAndre Carter,WR,,,,,,1.0,17.0,,2.0,11.0,,1.0,1.80
Jacob Cowing,WR,,,,,,1.0,7.0,,,,,,1.70
Tyler Conklin,TE,,,,,,1.0,7.0,,,,,,1.70
LaJohntay Wester,WR,,,,,,1.0,14.0,,1.0,6.0,,1.0,1.00
Clyde Edwards-Helaire,RB,,,,,,,,,2.0,8.0,,,0.80
James Proche,WR,,,,,,,,,1.0,6.0,,,0.60
Sterling Shepard,WR,,,,,,,,,1.0,6.0,,,0.60
Ben Skowronek,WR,,,,,,,,,1.0,6.0,,,0.60
Nikko Remigio,WR,,,,,,,,,1.0,6.0,,,0.60
