rank,pos_rank,playerId,name,position,team,role,proj_points,draft_value
1,RB1,5086388,Kewan Lacy,RB,Ole Miss,1.0,263.2,119.9
2,RB2,5197065,Ahmad Hardy,RB,Missouri,1.0,258.7,115.4
3,RB3,5258016,Caleb Hawkins,RB,Oklahoma State,1.0,253.8,110.5
4,RB4,4918103,Cam Cook,RB,West Virginia,1.0,241.8,98.5
5,RB5,5193580,Cameron Dickey,RB,Texas Tech,1.0,234.1,90.8
6,RB6,5076122,Evan Dickens,RB,Boston College,1.0,229.9,86.6
7,RB7,5153885,Rodney Nelson,RB,Miami (OH),1.0,227.8,84.5
8,RB8,5092811,CJ Miller,RB,Toledo,1.0,223.8,80.5
9,RB9,4918126,LJ Martin,RB,BYU,1.0,223.0,79.7
10,RB10,4921108,DeSean Bishop,RB,Tennessee,1.0,221.7,78.4
11,RB11,5209945,Antwan Raymond,RB,Rutgers,1.0,220.5,77.2
12,QB1,4880272,Byrum Brown,QB,Auburn,1.0,324.6,72.8
13,WR1,5152414,Beau Sparks,WR,Texas State,1.0,214.5,71.2
14,RB12,5125754,Jai'Den Thomas,RB,UNLV,1.0,211.8,68.5
15,RB13,5079574,Jordan Marshall,RB,Michigan,1.0,209.0,65.7
16,WR2,5079720,Jeremiah Smith,WR,Ohio State,1.0,208.5,65.2
17,RB14,5086393,J'Koby Williams,RB,Texas Tech,1.0,208.0,64.7
18,RB15,5164332,Nate Sheppard,RB,Duke,1.0,207.4,64.1
19,RB16,5086034,Cam Edwards,RB,Michigan State,1.0,206.3,63.0
20,RB17,4431328,Rodney Hammond Jr.,RB,Sacramento State,1.0,206.3,63.0
21,RB18,5173431,Wayshawn Parker,RB,Utah,1.0,206.0,62.7
22,RB19,5079322,Jadan Baugh,RB,Florida,1.0,204.7,61.4
23,RB20,5146712,Dylan Riley,RB,Boise State,1.0,204.6,61.3
24,QB2,4685574,Conner Weigman,QB,Houston,1.0,311.3,59.5
25,WR3,5077060,Amare Thomas,WR,Houston,1.0,199.9,56.6
26,WR4,5159175,Malachi Toney,WR,Miami,1.0,198.4,55.1
27,RB21,4912342,Wayne Knight,RB,UCLA,1.0,197.3,54.0
28,WR5,5084771,KJ Duff,WR,Rutgers,1.0,196.1,52.8
29,QB3,5148803,Brad Jackson,QB,Texas State,1.0,303.0,51.2
30,QB4,5153846,Nick Minicucci,QB,Delaware,1.0,302.6,50.8
31,RB22,4870760,Justice Haynes,RB,Georgia Tech,1.0,193.4,50.1
32,RB23,5220197,Fluff Bothwell,RB,Mississippi State,1.0,193.2,49.9
33,RB24,5078144,Landen Chambers,RB,UCF,0.93,188.5,45.2
34,RB25,5125900,Joshua Dye,RB,Ole Miss,0.96,188.3,45.0
35,RB26,5084582,Jordan Gant,RB,Akron,1.0,188.1,44.8
36,RB27,5079349,Isaac Brown,RB,Louisville,1.0,187.9,44.6
37,RB28,5079742,Aneyas Williams,RB,Notre Dame,1.0,187.7,44.4
38,RB29,4816099,Javen Jacobs,RB,Utah State,1.0,185.1,41.8
39,WR6,5079345,Mario Craver,WR,Texas A&M,1.0,184.3,41.0
40,RB30,4912453,Lucky Sutton,RB,San Diego State,1.0,183.9,40.6
41,RB31,5146724,Turbo Richard,RB,Indiana,1.0,183.4,40.1
42,RB32,5078244,Caleb Komolafe,RB,Northwestern,1.0,183.1,39.8
43,WR7,4914830,Easton Messer,WR,Florida Atlantic,1.0,182.6,39.3
44,WR8,5114311,Jackson Harris,WR,LSU,1.0,180.8,37.5
45,QB5,5105849,Devon Dampier,QB,Utah,1.0,289.1,37.3
46,RB33,5030333,Sedrick Alexander,RB,Vanderbilt,1.0,180.0,36.7
47,RB34,5078916,Joe Jackson,RB,Kansas State,1.0,179.6,36.3
48,RB35,5223167,Will Henderson III,RB,UTSA,1.0,179.4,36.1
49,WR9,5218633,Ryan Wingo,WR,Texas,1.0,179.3,36.0
50,RB36,5141423,Jordon Davison,RB,Oregon,1.0,179.2,35.9
51,RB37,5141517,Bo Jackson,RB,Ohio State,1.0,179.2,35.9
52,RB38,5084047,Nate Frazier,RB,Georgia,1.0,177.8,34.5
53,RB39,4870736,Mark Fletcher Jr.,RB,Miami,1.0,176.7,33.4
54,WR10,5148787,Wyatt Young,WR,Oklahoma State,1.0,174.2,30.9
55,WR11,4804878,Cooper Barkate,WR,Miami,1.0,173.4,30.1
56,WR12,5152815,Danny Scudero,WR,Colorado,0.99,173.3,30.0
57,WR13,5132629,Braylon Staley,WR,Tennessee,1.0,173.3,30.0
58,WR14,5088153,Micahi Danzy,WR,Florida State,1.0,173.1,29.8
59,RB40,5079663,Jeremy Payne,RB,TCU,1.0,172.6,29.3
60,RB41,5077502,Carson Hansen,RB,Penn State,1.0,172.5,29.2
61,QB6,4870906,Arch Manning,QB,Texas,1.0,280.5,28.7
62,RB42,5085006,Jalen Buckley,RB,Western Michigan,1.0,170.7,27.4
63,RB43,5155048,L.J. Phillips Jr.,RB,Iowa,1.0,170.4,27.1
64,QB7,4870971,Marcel Reed,QB,Texas A&M,1.0,277.6,25.8
65,RB44,4920901,Darius Taylor,RB,Minnesota,1.0,168.5,25.2
66,RB45,5233016,King Miller,RB,USC,1.0,167.5,24.2
67,RB46,4923046,Keyjuan Brown,RB,Louisville,1.0,166.7,23.4
68,RB47,4954455,Bryson Washington,RB,Auburn,1.0,166.5,23.2
69,WR15,5079580,Mike Matthews,WR,Tennessee,1.0,166.1,22.8
70,WR16,5079687,Jordan Shipp,WR,North Carolina,1.0,166.0,22.7
71,RB48,4870934,Rueben Owens II,RB,Texas A&M,1.0,165.8,22.5
72,RB49,5141677,Ja'Kyrian Turner,RB,Pittsburgh,0.99,165.7,22.4
73,WR17,5094032,Nico Brown,WR,Stanford,0.97,165.5,22.2
74,QB8,5044387,Anthony Colandrea,QB,Nebraska,1.0,274.0,22.2
75,WR18,4870922,Duce Robinson,WR,Florida State,1.0,164.9,21.6
76,RB50,5147347,Austyn Dendy,RB,Bowling Green,1.0,164.6,21.3
77,WR19,5155519,Yannick Smith,WR,SMU,1.0,163.2,19.9
78,QB9,5238868,Liam Szarka,QB,Air Force,1.0,271.7,19.9
79,RB51,5147379,Sire Gaines,RB,Boise State,1.0,163.1,19.8
80,RB52,4805256,Sutton Smith,RB,Arkansas,1.0,161.6,18.3
81,WR20,5084135,Pofele Ashlock,WR,Hawai'i,1.0,161.6,18.3
82,WR21,5141572,Andrew Marsh,WR,Michigan,1.0,161.6,18.3
83,QB10,5125715,Colton Joseph,QB,Wisconsin,1.0,269.9,18.1
84,RB53,4911971,Jahiem White,RB,North Texas,0.94,161.4,18.1
85,WR22,5141711,Ryan Coleman-Williams,WR,Alabama,1.0,161.3,18.0
86,RB54,4870642,Jeremiah Cobb,RB,Auburn,1.0,159.9,16.6
87,WR23,5153730,Jaden Barnes,WR,Charlotte,1.0,159.5,16.2
88,WR24,5154734,Griffin Wilde,WR,Northwestern,1.0,159.4,16.1
89,RB55,5143191,Micah Ford,RB,Stanford,1.0,158.8,15.5
90,WR25,5112674,Bryant Wesco Jr.,WR,Clemson,1.0,158.4,15.1
91,WR26,5080703,Isaiah Sategna III,WR,Oklahoma,1.0,158.0,14.7
92,RB56,5167252,Duncan Brune,RB,Ohio,1.0,157.8,14.5
93,RB57,4685445,Rayshon Luke,RB,Fresno State,1.0,157.5,14.2
94,RB58,5120456,Kwinten Ives,RB,Nebraska,0.95,156.0,12.7
95,RB59,5156906,Bill Davis,RB,Virginia Tech,1.0,155.7,12.4
96,WR27,4918108,Jordan Napier,WR,San Diego State,1.0,155.6,12.3
97,WR28,5079600,Nick Marsh,WR,Indiana,1.0,155.4,12.1
98,WR29,4871010,Shelton Sampson Jr.,WR,Louisiana,1.0,155.2,11.9
99,RB60,5155366,Malachi Hosley,RB,Georgia Tech,1.0,155.1,11.8
100,WR30,5084658,Terrell Anderson,WR,USC,1.0,154.6,11.3
101,RB61,4921116,Jamal Roberts,RB,Missouri,1.0,154.4,11.1
102,RB62,4941012,London Montgomery,RB,Florida,1.0,154.1,10.8
103,RB63,4899368,Kendrick Raphael,RB,SMU,0.98,154.0,10.7
104,RB64,4871076,Quintrevion Wisner,RB,Florida State,1.0,152.9,9.6
105,RB65,4717724,Rashod Dubinion,RB,App State,1.0,152.9,9.6
106,RB66,5227257,Markell Holman,RB,Wyoming,1.0,152.7,9.4
107,QB11,4695600,Bryson Barnes,QB,Utah State,1.0,260.6,8.8
108,RB67,5227209,Anthony Reagan Jr.,RB,Louisiana,0.98,151.9,8.6
109,QB12,4801717,Noah Fifita,QB,Arizona,1.0,260.3,8.5
110,RB68,5079335,Chauncey Bowens,RB,Georgia,0.97,151.5,8.2
111,RB69,5125823,DJ McKinney,RB,Tulsa,1.0,151.4,8.1
112,WR31,5121879,Keshaun Singleton,WR,Auburn,1.0,151.4,8.1
113,RB70,5121721,Jekail Middlebrook,RB,Virginia,1.0,151.0,7.7
114,WR32,5218753,T.J. Moore,WR,Clemson,1.0,151.0,7.7
115,RB71,5155532,Sawyer Seidl,RB,Wake Forest,1.0,150.9,7.6
116,RB72,5295550,DeJuan Williams,RB,Maryland,1.0,150.5,7.2
117,WR33,5224764,Sean Wilson,WR,Delaware,1.0,149.5,6.2
118,QB13,4911929,Alonza Barnett III,QB,UCF,1.0,257.9,6.1
119,WR34,5078165,Junior Sherrill,WR,Vanderbilt,1.0,149.1,5.8
120,RB73,5224714,Latrelle Murrell,RB,Kennesaw State,0.99,149.0,5.7
121,RB74,5122553,Peyton Lewis,RB,Virginia,1.0,149.0,5.7
122,WR35,4907671,Anthony Evans III,WR,Mississippi State,1.0,148.9,5.6
123,RB75,5093886,Kamari Moulton,RB,Iowa,0.97,148.6,5.3
124,WR36,5194795,Na'eem Abdul-Rahim Gladding,WR,Maryland,1.0,148.4,5.1
125,QB14,4915980,John Mateer,QB,Oklahoma,1.0,256.6,4.8
126,RB76,5225717,Savion Hart,RB,Georgia State,0.94,147.8,4.5
127,WR37,5294063,Tre Richardson,WR,Louisville,1.0,147.6,4.3
128,RB77,5154732,Kirby Vorhees,RB,Washington State,1.0,147.6,4.3
129,WR38,4832804,Jordan Dwyer,WR,TCU,1.0,147.5,4.2
130,RB78,5193302,Telly Johnson Jr.,RB,Northern Illinois,1.0,147.0,3.7
131,QB15,4685454,Jayden Maiava,QB,USC,1.0,255.3,3.5
132,WR39,4871062,Asaad Waseem,WR,Purdue,1.0,146.6,3.3
133,QB16,5079653,Demond Williams Jr.,QB,Washington,1.0,255.0,3.2
134,WR40,5209679,Jeremiah Koger,WR,Auburn,1.0,146.3,3.0
135,RB79,4871053,Hollywood Smothers,RB,Texas,0.92,146.3,3.0
136,RB80,5079506,Daniel Hill,RB,Alabama,1.0,145.8,2.5
137,WR41,5078312,Nyziah Hunter,WR,Nebraska,1.0,145.4,2.1
138,RB81,5082271,Quinton Jackson,RB,Rice,1.0,145.3,2.0
139,QB17,5079369,CJ Carr,QB,Notre Dame,1.0,253.8,2.0
140,RB82,5086952,Jo Silver,RB,Delaware,1.0,145.1,1.8
141,RB83,5225880,Xai'Shaun Edwards,RB,Missouri,0.92,144.7,1.4
142,RB84,5160209,Landan Brown,RB,Sam Houston,1.0,143.7,0.4
143,QB18,5226019,Caden Pinnick,QB,Washington State,1.0,252.0,0.2
144,RB85,4685237,Michael Allen,RB,East Carolina,1.0,143.4,0.1
145,RB86,5156152,Jaquari Lewis,RB,App State,1.0,143.3,0.0
146,RB87,5110454,James Peoples,RB,Penn State,1.0,143.3,0.0
147,WR42,5121334,Jayce Brown,WR,LSU,1.0,143.3,0.0
148,TE1,4870728,Kaden Feagin,TE,Illinois,1.0,136.0,0.0
149,QB19,5121169,Darian Mensah,QB,Miami,1.0,251.8,0.0
150,QB20,4870857,Avery Johnson,QB,Kansas State,1.0,251.2,-0.6
151,QB21,5074245,Broc Lowry,QB,Western Michigan,1.0,250.9,-0.9
152,RB88,4685545,Gavin Sawchuk,RB,Northwestern,1.0,142.3,-1.0
153,RB89,5121607,Ke'Marion Baldwin,RB,Bowling Green,0.92,142.2,-1.1
154,WR43,5166797,Dezmen Roebuck,WR,Washington,1.0,142.0,-1.3
155,QB22,4870513,Maddux Madsen,QB,Boise State,1.0,250.0,-1.8
156,RB90,5154420,Ahmad Miller,RB,Syracuse,0.92,141.5,-1.8
157,RB91,4917310,Zylan Perry,RB,Cincinnati,1.0,141.5,-1.8
158,RB92,4689529,Kenji Christian,RB,UConn,1.0,141.1,-2.2
159,RB93,5126513,Jayden Scott,RB,NC State,1.0,140.8,-2.5
160,WR44,5141586,Dakorien Moore,WR,Oregon,0.98,140.4,-2.9
161,RB94,4899361,Kedrick Reescano,RB,Arizona,1.0,140.2,-3.1
162,WR45,5079376,Cam Coleman,WR,Texas,0.96,139.9,-3.4
163,WR46,4837193,Jmariyae Robinson,WR,Missouri State,1.0,139.6,-3.7
164,QB23,5141367,Bear Bachmeier,QB,BYU,1.0,248.0,-3.8
165,WR47,5069231,Deondre Johnson,WR,Jacksonville State,0.97,139.5,-3.8
166,RB95,5219693,Solomon Beebe,RB,Virginia,0.98,139.1,-4.2
167,WR48,4869443,TK King,WR,New Mexico State,1.0,138.9,-4.4
168,RB96,5295318,Waymond Jordan,RB,USC,0.96,138.4,-4.9
169,RB97,4685268,Raleek Brown,RB,Texas,0.97,138.1,-5.2
170,WR49,5075390,Ian Strong,WR,California,1.0,137.8,-5.5
171,RB98,5159948,Chris Johnson Jr.,RB,Clemson,1.0,137.8,-5.5
172,RB99,4869582,Cam Barfield,RB,Hawai'i,1.0,136.8,-6.5
173,WR50,5132253,Isiah Canion,WR,Georgia,0.98,136.8,-6.5
174,QB24,4685578,Gunner Stockton,QB,Georgia,1.0,244.8,-7.0
175,WR51,4893702,Elizjah Lewis,WR,Louisville,0.79,136.2,-7.1
176,QB25,4685345,JC French IV,QB,Cincinnati,1.0,244.4,-7.4
177,QB26,5219834,Drew Mestemaker,QB,Oklahoma State,1.0,244.2,-7.6
178,WR52,5077873,Chris Dawn Jr.,WR,Texas State,1.0,135.6,-7.7
179,RB100,5083848,Jamar Curtis,RB,Sacramento State,1.0,135.1,-8.2
180,RB101,5295930,Trequan Jones,RB,Tulsa,1.0,134.9,-8.4
181,QB27,5080403,Jaylen Raynor,QB,Iowa State,0.99,243.4,-8.4
182,RB102,4432757,Evan Pryor,RB,Florida,0.99,134.4,-8.9
183,RB103,5184165,Nykahi Davenport,RB,Auburn,0.97,134.4,-8.9
184,WR53,4916941,Coy Eakin,WR,Texas Tech,1.0,134.3,-9.0
185,RB104,4888886,Kenyon Clay,RB,Arkansas State,1.0,133.7,-9.6
186,RB105,5078005,Abu Sama III,RB,Wisconsin,1.0,133.6,-9.7
187,RB106,5141499,Dierre Hill Jr.,RB,Oregon,0.98,133.3,-10.0
188,QB28,4838536,Tyler Hughes,QB,Wyoming,1.0,241.6,-10.2
189,QB29,5079301,CJ Bailey,QB,NC State,1.0,241.5,-10.3
190,WR54,4870850,Omarion Miller,WR,Arizona State,1.0,132.8,-10.5
191,WR55,5161892,Xavyion Noland,WR,Oregon State,1.0,132.5,-10.8
192,RB107,5146725,Kaden Shields-Dutton,RB,Florida Atlantic,1.0,132.4,-10.9
193,RB108,5223119,Owen Allen,RB,Air Force,1.0,132.3,-11.0
194,WR56,5150424,Jordan Faison,WR,Notre Dame,1.0,132.1,-11.2
195,WR57,5161253,Devin Matthews,WR,Massachusetts,1.0,131.9,-11.4
196,QB30,4869991,Caden Veltkamp,QB,Florida Atlantic,1.0,240.4,-11.4
197,RB109,4429186,Sam Adams II,RB,Sacramento State,1.0,131.8,-11.5
198,WR58,5095360,Eric Singleton Jr.,WR,Florida,1.0,131.7,-11.6
199,RB110,5142140,Khobie Martin,RB,Indiana,0.97,131.3,-12.0
200,WR59,5091830,Cam'ron Lacy,WR,Middle Tennessee,1.0,130.9,-12.4
201,WR60,4705859,K.D. Hutchinson,WR,Western Kentucky,1.0,130.5,-12.8
202,WR61,4685356,Greg Gaines III,WR,Florida International,1.0,130.1,-13.2
203,WR62,4869422,Braden Pegan,WR,Utah,0.99,130.1,-13.2
204,QB31,4795295,Katin Houser,QB,Illinois,1.0,238.1,-13.7
205,TE2,5079420,Trey'Dez Green,TE,LSU,0.97,122.1,-13.9
206,WR63,5159139,Donovan Faupel,WR,Arkansas,0.99,129.4,-13.9
207,WR64,5084409,Jared Richardson,WR,Duke,0.99,129.4,-13.9
208,WR65,5122072,Nic Trujillo,WR,UL Monroe,1.0,129.4,-13.9
209,WR66,5031157,Reed Harris,WR,Arizona State,0.95,129.3,-14.0
210,WR67,5295918,Tre' Brown,WR,LSU,1.0,129.1,-14.2
211,RB111,4871013,Gemari Sands,RB,Florida State,0.94,129.0,-14.3
212,RB112,5161800,Viron Ellison Jr.,RB,Delaware,1.0,128.2,-15.1
213,WR68,4870745,Nyck Harbor,WR,South Carolina,1.0,128.1,-15.2
214,RB113,4685254,Jabari Bates,RB,San José State,0.98,128.0,-15.3
215,WR69,5153889,Josh Derry,WR,UCF,0.92,128.0,-15.3
216,RB114,5147861,Adam Mohammed,RB,California,1.0,127.9,-15.4
217,QB32,4685401,Josh Hoover,QB,Indiana,1.0,236.3,-15.5
218,RB115,5110500,Kevin Riley,RB,Alabama,1.0,127.7,-15.6
219,RB116,5154284,Ramone Green Jr.,RB,Missouri State,1.0,127.2,-16.1
220,QB33,5083042,Skyler Locklear,QB,Missouri State,1.0,235.4,-16.4
221,QB34,5079712,Julian Sayin,QB,Ohio State,1.0,235.3,-16.5
222,WR70,5092483,Josiah Freeman,WR,Fresno State,1.0,126.3,-17.0
223,RB117,4918414,Dylan Edwards,RB,Kansas,0.9,126.3,-17.0
224,RB118,5154224,DJ Scott,RB,North Dakota State,1.0,126.1,-17.2
225,RB119,5157391,Jayden Clerveaux,RB,Central Michigan,0.98,125.7,-17.6
226,WR71,5082584,DJ Epps,WR,West Virginia,1.0,125.5,-17.8
227,RB120,5227742,Nick Osho,RB,North Texas,0.94,125.1,-18.2
228,WR72,5152600,Reed Swanson,WR,Boston College,0.97,125.0,-18.3
229,RB121,5122147,Vaughn Blue,RB,Central Michigan,0.95,124.9,-18.4
230,RB122,5166161,Scottre Humphrey,RB,New Mexico,1.0,124.8,-18.5
231,RB123,4879292,Kam Thomas,RB,UTEP,1.0,124.6,-18.7
232,WR73,5227057,Jalen Jones,WR,Texas Tech,1.0,124.4,-18.9
233,QB35,5150297,Cale Hellums,QB,Army,1.0,232.0,-19.8
234,QB36,5084084,Kevin Jennings,QB,SMU,1.0,232.0,-19.8
235,WR74,5084967,Victor Snow,WR,NC State,1.0,123.3,-20.0
236,WR75,5265446,Clayton Coppock Jr.,WR,Coastal Carolina,1.0,123.1,-20.2
237,RB124,5295070,Keenan Phillips,RB,South Alabama,1.0,123.1,-20.2
238,WR76,4917054,David Amador II,WR,UTSA,1.0,123.1,-20.2
239,WR77,5083205,Nick Devereaux,WR,Eastern Michigan,1.0,123.0,-20.3
240,RB125,5122554,Xavier Robinson,RB,Oklahoma,0.97,122.7,-20.6
241,RB126,5079749,Yasin Willis,RB,Kansas,0.91,122.6,-20.7
242,QB37,5122157,Caden Creel,QB,Jacksonville State,1.0,230.9,-20.9
243,WR78,5157331,Adrian Norton,WR,Marshall,0.97,122.1,-21.2
244,TE3,4922996,Dylan Wade,TE,UCF,1.0,114.8,-21.2
245,WR79,4912286,Iverson Hooks,WR,Oregon,0.99,122.0,-21.3
246,WR80,4714341,Ben Ford,WR,Boise State,0.97,121.9,-21.4
247,RB127,4878394,Ajay Allen,RB,Western Kentucky,0.95,121.8,-21.5
248,WR81,5081131,Javen Nicholas,WR,Duke,0.99,121.7,-21.6
249,RB128,5156998,CharMar Brown,RB,Miami,1.0,121.5,-21.8
250,WR82,5218787,Que'Sean Brown,WR,Virginia Tech,0.99,121.5,-21.8
251,RB129,5079372,Anthony Carrie,RB,Florida International,0.99,121.5,-21.8
252,WR83,4921110,Chase Hendricks,WR,California,0.97,121.5,-21.8
253,WR84,5168770,Carver Cheeks,WR,UTEP,1.0,121.4,-21.9
254,RB130,5175334,Bryson Donelson,RB,Fresno State,1.0,121.4,-21.9
255,RB131,4922993,Devin Roche,RB,Old Dominion,1.0,121.1,-22.2
256,RB132,5079379,Caden Durham,RB,LSU,0.95,121.0,-22.3
257,TE4,4907786,Rocky Beers,TE,Oklahoma,0.95,113.6,-22.4
258,WR85,5159362,Zion Booker,WR,Kennesaw State,0.99,120.8,-22.5
259,QB38,5141695,Malik Washington,QB,Maryland,1.0,229.2,-22.6
260,WR86,5081367,Chas Nimrod,WR,Auburn,1.0,120.7,-22.6
261,RB133,5146726,Kiefer Sibley,RB,New Mexico,1.0,120.3,-23.0
262,RB134,4870868,Jayden Limar,RB,Washington,1.0,120.1,-23.2
263,WR87,5139057,Ashton Bethel-Roman,WR,Texas A&M,0.94,120.1,-23.2
264,RB135,4918094,Damian Henderson II,RB,Colorado,0.93,119.9,-23.4
265,WR88,5152158,Deuce Alexander,WR,Ole Miss,1.0,119.9,-23.4
266,WR89,5121750,Yamir Knight,WR,SMU,1.0,119.8,-23.5
267,WR90,4917048,Dominique Henry,WR,Florida Atlantic,1.0,119.7,-23.6
268,RB136,5091725,Lee Beebe Jr.,RB,Indiana,0.95,119.1,-24.2
269,WR91,5226267,Zyheem Collick,WR,Charlotte,0.96,119.1,-24.2
270,WR92,5148535,Brett Eskildsen,WR,Penn State,1.0,118.8,-24.5
271,WR93,4869340,Brock Spalding,WR,East Carolina,1.0,118.7,-24.6
272,WR94,5295920,Ja'Cory Thomas,WR,Vanderbilt,0.95,118.5,-24.8
273,WR95,5125905,Corri Milliner,WR,North Texas,1.0,118.5,-24.8
274,WR96,5084772,Hayden Eligon II,WR,Northwestern,0.99,118.1,-25.2
275,WR97,5195952,Wondame Davis Jr.,WR,Wake Forest,0.87,118.0,-25.3
276,TE5,5157528,Nate Levicki,TE,Western Michigan,0.97,110.6,-25.4
277,RB137,5079589,Braylen Russell,RB,Arkansas,0.98,117.7,-25.6
278,WR98,4826505,Mudia Reuben,WR,South Florida,1.0,117.7,-25.6
279,WR99,4922992,Israel Polk,WR,Oklahoma State,0.92,117.6,-25.7
280,RB138,5164331,Girard Pringle Jr.,RB,Miami,0.92,117.4,-25.9
281,RB139,5106299,Ca'Lil Valentine,RB,Illinois,1.0,117.3,-26.0
282,WR100,4923226,Collin Dixon,WR,Illinois,1.0,117.2,-26.1
283,RB140,4680018,Alton McCaskill,RB,Sam Houston,0.97,117.1,-26.2
284,WR101,5219086,Leland Smith,WR,UCLA,0.98,116.8,-26.5
285,QB39,4690158,Noah Kim,QB,Eastern Michigan,1.0,225.1,-26.7
286,WR102,5083370,Jacory Barney Jr.,WR,Nebraska,1.0,116.3,-27.0
287,RB141,5125335,Rodney Fields Jr.,RB,Kansas State,0.91,115.8,-27.5
288,QB40,4775136,Owen McCown,QB,UTSA,1.0,224.2,-27.6
289,QB41,5171031,Matt Vezza,QB,Ohio,1.0,224.2,-27.6
290,WR103,5152045,Malachi Henry,WR,Cincinnati,1.0,115.6,-27.7
291,WR104,5085496,Chauncy Cobb,WR,Arkansas State,1.0,115.6,-27.7
292,WR105,4592835,Dalton Stroman,WR,App State,1.0,115.3,-28.0
293,RB142,5084210,Jo'Shon Barbie,RB,Marshall,1.0,115.2,-28.1
294,WR106,5159360,James Tyre,WR,North Texas,1.0,115.1,-28.2
295,WR107,5084802,AJ Wilson,WR,UTSA,1.0,115.1,-28.2
296,TE6,4804882,Garrett Oakley,TE,Kansas State,1.0,107.7,-28.3
297,WR108,4896289,Gavin Freeman,WR,Baylor,1.0,114.9,-28.4
298,WR109,4912130,Trell Harris,WR,Oklahoma,0.98,114.8,-28.5
299,WR110,5083068,Kenny Odom,WR,South Florida,1.0,114.8,-28.5
300,WR111,5078225,Jaron Tibbs,WR,Kansas State,1.0,114.6,-28.7
301,WR112,4870858,Cayden Lee,WR,Missouri,0.99,114.5,-28.8
302,WR113,4923295,Kenny Johnson,WR,Texas Tech,0.99,114.5,-28.8
303,WR114,4871001,Jaedn Skeete,WR,Boston College,0.8,114.4,-28.9
304,WR115,4880358,Cam Pedro,WR,Charlotte,0.96,114.4,-28.9
305,WR116,5084133,Alex Perry,WR,Illinois,0.95,114.3,-29.0
306,WR117,5211694,Harold Mack,WR,Eastern Michigan,0.88,114.3,-29.0
307,WR118,5153399,Adjatay Dabbs,WR,Toledo,1.0,114.1,-29.2
308,RB143,4875755,Mason King,RB,Kent State,0.93,114.1,-29.2
309,RB144,5296378,Clay Thevenin,RB,Rutgers,0.93,114.0,-29.3
310,WR119,4891198,Tre Spivey,WR,Arizona,1.0,113.9,-29.4
311,WR120,5300482,Evan James,WR,Iowa,0.92,113.7,-29.6
312,RB145,4870955,Samuel Singleton Jr.,RB,Florida State,0.88,113.5,-29.8
313,WR121,5127885,Kwazi Gilmer,WR,Nebraska,0.99,113.5,-29.8
314,WR122,5153408,Kendall Harris,WR,Old Dominion,0.92,113.4,-29.9
315,RB146,4923252,Dante Dowdell,RB,Georgia,0.99,113.3,-30.0
316,WR123,5168788,Brayden Munroe,WR,Kennesaw State,1.0,113.3,-30.0
317,QB42,4432691,Carlos Del Rio-Wilson,QB,Marshall,1.0,221.8,-30.0
318,RB147,5146689,Brock Townsend,RB,Central Michigan,0.96,113.1,-30.2
319,WR124,4430827,Troy Omeire,WR,New Mexico,0.98,113.0,-30.3
320,WR125,5153074,Carlos Hernandez,WR,Wake Forest,1.0,113.0,-30.3
321,RB148,5088888,Torrance Burgess Jr.,RB,Texas State,0.95,112.9,-30.4
322,WR126,5148822,Chris Barnes,WR,Oklahoma State,0.94,112.9,-30.4
323,WR127,5228002,Jackson Williams,WR,North Dakota State,1.0,112.6,-30.7
324,WR128,4870860,DeAndre Moore Jr.,WR,Colorado,1.0,112.5,-30.8
325,WR129,5079613,Emmett Mosley V,WR,Texas,0.99,112.4,-30.9
326,RB149,5169245,Ethan Shine,RB,Pittsburgh,0.94,112.3,-31.0
327,WR130,5193298,Chris Durr Jr.,WR,Maryland,0.96,112.3,-31.0
328,WR131,5102556,Cataurus Hicks,WR,Pittsburgh,1.0,112.2,-31.1
329,WR132,4685704,Larry Simmons,WR,Utah,0.96,112.1,-31.2
330,RB150,4683234,La'Vell Wright,RB,Pittsburgh,0.97,112.0,-31.3
331,WR133,5225343,Owen Sweeney,WR,Marshall,0.88,111.7,-31.6
332,RB151,5228607,Demon June,RB,North Carolina,0.96,111.6,-31.7
333,QB43,4911529,Trinidad Chambliss,QB,Ole Miss,1.0,220.0,-31.8
334,WR134,4870826,Micah Mays Jr.,WR,Florida,0.93,111.5,-31.8
335,TE7,4867887,Terrance Carter Jr.,TE,Texas Tech,0.99,104.1,-31.9
336,RB152,5192899,Ashten Emory,RB,California,0.9,111.3,-32.0
337,WR135,4869603,Cam Pickett,WR,Kansas,1.0,111.2,-32.1
338,WR136,5078105,TJ Lott,WR,Troy,0.95,111.0,-32.3
339,RB153,5079419,TJ Engleman Jr.,RB,East Carolina,0.98,111.0,-32.3
340,WR137,5093837,Chris Hunter,WR,Arizona,1.0,110.8,-32.5
341,WR138,5150460,John Neider,WR,West Virginia,0.97,110.8,-32.5
342,RB154,5150313,Kanye Udoh,RB,Liberty,1.0,110.7,-32.6
343,RB155,5227400,Travis Terrell Jr.,RB,Purdue,0.84,110.7,-32.6
344,WR139,5295811,Vernell Brown III,WR,Florida,0.95,110.6,-32.7
345,WR140,5079556,Parker Livingstone,WR,Oklahoma,0.93,110.5,-32.8
346,WR141,4831976,Javon Tracy,WR,Minnesota,0.99,110.4,-32.9
347,WR142,4895711,Chris Reed,WR,Sam Houston,1.0,110.4,-32.9
348,RB156,4685184,Don Chaney,RB,UL Monroe,0.94,110.2,-33.1
