rank,pos_rank,name,position,team,proj_points,floor,ceil,draft_value,adp,adp_gap,espn_proj,injury,line_source,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles
58,QB18,Kyler Murray,QB,MIN,240.3,190.0,291.0,30.2,146.6,88.6,250.6,ACTIVE,vegas,3049.5,18.5,9.0,503.0,3.0,0.0,0.0,0.0,3.0
59,WR21,Davante Adams,WR,LAR,192.7,152.5,235.0,29.0,46.1,-12.9,232.3,ACTIVE,dk+hist,0.0,0.0,0.0,0.0,0.0,60.8,774.5,9.08,0.0
60,WR22,Emeka Egbuka,WR,TB,192.7,153.7,233.2,29.0,47.8,-12.2,229.0,QUESTIONABLE,dk+hist,0.0,0.0,0.0,8.75,0.0,61.06,924.5,6.38,0.0
61,RB19,D'Andre Swift,RB,CHI,192.2,153.8,231.8,28.7,64.9,3.9,211.7,ACTIVE,dk+hist,0.0,0.0,0.0,824.5,6.79,35.94,323.79,0.71,1.77
62,QB19,Jordan Love,QB,GB,238.1,187.4,290.8,28.0,158.4,96.4,259.0,ACTIVE,dk+hist,3549.5,24.35,8.13,161.84,0.41,0.0,0.0,0.0,1.81
63,QB20,Tyler Shough,QB,NO,237.8,185.7,291.9,27.7,155.6,92.6,266.0,ACTIVE,dk+hist,3487.11,20.5,9.1,189.4,3.49,0.0,0.0,0.0,2.7
64,WR23,Terry McLaurin,WR,WAS,190.2,151.4,231.2,26.5,60.1,-3.9,218.7,ACTIVE,dk+hist,0.0,0.0,0.0,0.61,0.0,64.35,924.5,5.68,0.36
65,QB21,C.J. Stroud,QB,HOU,235.7,185.8,287.2,25.6,165.4,100.4,246.6,ACTIVE,dk+hist,3549.5,22.5,10.12,223.67,0.82,0.0,0.0,0.0,1.68
66,WR24,Jaylen Waddle,WR,DEN,189.3,151.3,228.9,25.6,57.2,-8.8,213.3,ACTIVE,dk+hist,5.25,0.0,0.0,22.9,0.0,64.54,899.5,5.39,0.0
67,WR25,Josh Downs,WR,IND,189.2,151.2,228.3,25.5,133.6,66.6,157.7,ACTIVE,dk+hist,0.0,0.0,0.0,5.01,0.0,76.74,774.9,5.74,0.0
68,TE3,Tyler Warren,TE,IND,188.5,150.8,226.9,25.0,50.1,-17.9,210.9,QUESTIONABLE,dk+hist,0.0,0.0,0.0,7.88,1.11,72.52,774.5,5.18,0.0
69,WR26,Jameson Williams,WR,DET,184.5,146.9,222.9,20.8,67.5,-1.5,208.4,ACTIVE,dk+hist,0.0,0.0,0.0,31.58,0.46,53.77,924.5,5.39,0.0
70,RB20,Quinshon Judkins,RB,CLE,184.2,144.4,225.2,20.7,55.0,-15.0,226.4,QUESTIONABLE,dk+hist,0.0,0.0,0.0,894.61,8.64,25.86,170.81,0.0,0.0
71,RB21,Bhayshul Tuten,RB,JAX,183.6,139.8,228.8,20.1,73.3,2.3,205.3,ACTIVE,dk+hist,0.0,0.0,0.0,724.5,13.8,9.91,79.38,2.21,1.38
72,TE4,Colston Loveland,TE,CHI,182.7,144.7,222.2,19.2,45.0,-27.0,205.9,ACTIVE,dk+hist,0.0,0.0,0.0,0.07,0.0,65.79,824.5,5.75,0.0
