rank,pos_rank,name,position,team,proj_points,floor,ceil,draft_value,adp,adp_gap,espn_proj,injury,line_source,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles
386,K42,Caden Davis,K,,0.0,0.0,0.0,-144.4,169.9,-216.1,,ACTIVE,espn,,,,,,,,,
387,K43,Greg Zuerlein,K,,0.0,0.0,0.0,-144.4,170.0,-217.0,,QUESTIONABLE,espn,,,,,,,,,
388,K44,Cade York,K,NYJ,0.0,0.0,0.0,-144.4,170.0,-218.0,0.0,ACTIVE,espn,,,,,,,,,
389,K45,Dustin Hopkins,K,,0.0,0.0,0.0,-144.4,170.0,-219.0,,ACTIVE,espn,,,,,,,,,
390,K46,Daniel Carlson,K,,0.0,0.0,0.0,-144.4,170.0,-220.0,,ACTIVE,espn,,,,,,,,,
391,K47,Tanner Brown,K,NO,0.0,0.0,0.0,-144.4,170.0,-221.0,0.0,ACTIVE,espn,,,,,,,,,
392,K48,Jude McAtamney,K,,0.0,0.0,0.0,-144.4,169.9,-222.1,,ACTIVE,espn,,,,,,,,,
393,K49,Michael Badgley,K,,0.0,0.0,0.0,-144.4,170.0,-223.0,,ACTIVE,espn,,,,,,,,,
394,K50,Austin Seibert,K,,0.0,0.0,0.0,-144.4,170.0,-224.0,,ACTIVE,espn,,,,,,,,,
395,K51,Parker Romo,K,,0.0,0.0,0.0,-144.4,170.0,-225.0,,ACTIVE,espn,,,,,,,,,
396,K52,Lucas Havrisik,K,,0.0,0.0,0.0,-144.4,170.0,-226.0,0.0,ACTIVE,espn,,,,,,,,,
397,K53,Greg Joseph,K,,0.0,0.0,0.0,-144.4,170.0,-227.0,,ACTIVE,espn,,,,,,,,,
398,K54,Joshua Karty,K,,0.0,0.0,0.0,-144.4,170.0,-228.0,0.0,ACTIVE,espn,,,,,,,,,
399,K55,Christopher Dunn,K,,0.0,0.0,0.0,-144.4,170.0,-229.0,,ACTIVE,espn,,,,,,,,,
400,K56,Brayden Narveson,K,,0.0,0.0,0.0,-144.4,170.0,-230.0,,ACTIVE,espn,,,,,,,,,
401,K57,Anders Carlson,K,,0.0,0.0,0.0,-144.4,170.0,-231.0,,ACTIVE,espn,,,,,,,,,
402,K58,Matthew Wright,K,,0.0,0.0,0.0,-144.4,170.0,-232.0,,ACTIVE,espn,,,,,,,,,
