rank,pos_rank,name,position,team,proj_points,floor,ceil,draft_value,adp,adp_gap,espn_proj,injury,line_source,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles
259,WR108,Jalen McMillan,WR,TB,63.8,44.1,84.6,-117.6,168.2,-90.8,132.9,QUESTIONABLE,hist,0.0,0.0,0.0,10.81,0.0,21.06,305.0,1.86,0.0
260,WR109,Nick Westbrook-Ikhine,WR,IND,63.5,40.0,88.2,-117.9,170.1,-89.9,17.3,ACTIVE,hist,0.0,0.0,0.0,0.0,0.0,17.89,238.38,3.63,0.0
261,RB67,Devin Neal,RB,NO,62.9,41.4,84.6,-118.1,170.0,-91.0,0.0,ACTIVE,hist,0.0,0.0,0.0,219.45,2.25,16.89,105.38,0.0,0.0
262,WR110,Brandon Aiyuk,WR,SF,62.5,44.3,81.7,-118.9,170.2,-91.8,,OUT,hist,0.0,0.0,0.0,0.0,0.0,25.03,374.91,0.0,0.0
263,RB68,Isaiah Davis,RB,NYJ,62.0,41.3,83.9,-119.0,170.4,-92.6,51.0,QUESTIONABLE,hist,0.0,0.0,0.0,213.08,1.15,16.58,143.12,0.49,0.0
264,WR111,Tory Horton,WR,SEA,62.0,36.0,89.0,-119.4,170.4,-93.6,65.5,QUESTIONABLE,hist,0.0,0.0,0.0,0.0,0.0,12.81,158.32,5.56,0.0
265,RB69,Brashard Smith,RB,KC,61.5,42.2,81.9,-119.5,170.1,-94.9,1.0,ACTIVE,hist,0.0,0.0,0.0,145.55,0.0,24.08,164.33,1.07,0.0
266,RB70,Audric Estimé,RB,NO,61.3,40.3,83.5,-119.7,170.0,-96.0,,QUESTIONABLE,hist,0.0,0.0,0.0,272.27,1.75,13.25,108.87,0.0,0.28
267,WR112,Tyrell Shavers,WR,BUF,60.2,37.1,84.2,-121.2,170.0,-97.0,11.0,OUT,hist,0.0,0.0,0.0,0.0,0.0,9.54,297.49,3.49,0.0
268,RB71,Kyle Juszczyk,RB,SF,59.2,37.7,81.5,-121.8,169.9,-98.1,44.9,QUESTIONABLE,hist,0.0,0.0,0.0,10.96,0.46,22.16,209.82,2.21,0.52
