year,team,source_team
2026,Michigan,Utah
2026,Ole Miss,East Carolina
2026,LSU,Ole Miss
2026,Florida,Georgia Tech
2026,North Carolina,Arkansas
2026,Colorado,UNLV
2026,TCU,UConn
2026,Kansas State,Missouri
2026,Utah,Utah State
2026,Florida State,UCF
